tts,weights
1.514071e+03,5.707613e-04
5.865310e+02,6.282978e-04
5.122224e+02,6.479943e-04
5.865310e+02,6.282978e-04
5.122224e+02,6.479943e-04
1.770738e+03,5.823542e-04
1.646651e+03,5.808575e-04
1.772954e+03,5.633038e-04
1.646651e+03,5.808575e-04
6.830548e+02,5.912578e-04
6.080991e+02,5.985959e-04
6.830548e+02,5.912578e-04
6.080991e+02,5.985959e-04
1.796914e+03,5.902904e-04
1.796914e+03,5.902904e-04
7.911134e+02,5.615612e-04
7.175784e+02,5.520283e-04
7.911134e+02,5.615612e-04
7.175784e+02,5.520283e-04
8.990611e+02,5.379466e-04
8.331623e+02,5.221585e-04
8.990611e+02,5.379466e-04
8.331623e+02,5.221585e-04
9.912749e+02,5.156535e-04
9.363116e+02,4.921845e-04
9.912749e+02,5.156535e-04
9.363116e+02,4.921845e-04
1.053383e+03,4.950586e-04
1.009960e+03,4.660193e-04
1.053383e+03,4.950586e-04
1.009960e+03,4.660193e-04
1.073909e+03,4.763676e-04
1.039746e+03,4.438277e-04
1.066764e+03,4.950586e-04
1.039746e+03,4.438277e-04
1.046108e+03,4.596344e-04
1.016751e+03,4.255305e-04
1.035119e+03,4.763676e-04
1.013392e+03,4.438277e-04
9.691437e+02,4.447875e-04
9.396581e+02,4.108675e-04
9.599832e+02,4.596344e-04
9.358883e+02,4.255305e-04
8.454620e+02,3.994518e-04
8.144681e+02,3.733957e-04
8.412069e+02,4.108675e-04
8.132462e+02,3.833621e-04
6.888683e+02,3.908103e-04
6.569107e+02,3.672613e-04
6.891628e+02,3.994518e-04
6.569340e+02,3.733957e-04
1.806688e+03,5.725381e-04
1.819844e+03,5.103078e-04
1.805476e+03,5.725381e-04
1.821821e+03,5.275770e-04
5.188407e+02,3.642690e-04
4.907382e+02,3.496404e-04
5.205671e+02,3.672613e-04
4.907382e+02,3.496404e-04
1.666321e+03,5.103078e-04
1.662264e+03,4.539690e-04
1.669199e+03,5.103078e-04
1.668661e+03,4.539690e-04
3.544280e+02,3.637002e-04
3.324126e+02,3.525386e-04
3.545021e+02,3.642690e-04
3.324126e+02,3.525386e-04
1.526015e+03,4.912319e-04
1.504570e+03,4.388298e-04
1.531470e+03,4.912319e-04
1.512943e+03,4.388298e-04
2.121845e+02,3.576804e-04
2.010625e+02,3.551509e-04
2.121845e+02,3.576804e-04
2.010625e+02,3.551509e-04
1.395972e+03,4.497662e-04
1.360189e+03,4.237734e-04
1.402332e+03,4.708683e-04
